accord,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
Cmaj,0.9462486,0.0019605088,0.12020865,0.0076255044,0.8095376,0.104734086,0.008006502,0.89431465,0.0023707093,0.17987241,0.02002195,0.04817764
Fmaj,0.9837814,0.0011383588,0.0076180096,0.052577157,0.029897114,0.98962396,0.00018928976,0.0070999837,0.12608412,0.86964786,0.009084377,0.0023110702
A#maj,0.042678166,0.006814662,0.8574601,0.098217115,0.008712082,0.8088887,0.0023877972,0.31732535,0.035066266,0.024635874,0.9627093,0.004566873
Amaj,0.042678166,0.006814662,0.8574601,0.098217115,0.008712082,0.8088887,0.0023877972,0.31732535,0.035066266,0.024635874,0.9627093,0.004566873
Amin,0.6106165,0.20666194,0.06164515,0.006567099,0.80574197,0.25166747,0.009110124,0.07050652,0.005932089,0.9646992,0.003082492,0.018098725
Dmin,0.43463984,0.0011248791,0.9682236,0.00033879204,0.011572812,0.9529274,0.020656593,0.0107586775,0.0008734107,0.97459316,0.0041331947,0.0040629725
Cmaj,0.94697845,0.001942402,0.11837817,0.007997288,0.8089914,0.10037451,0.008170392,0.8955449,0.0024030413,0.17381042,0.020622004,0.04683787
Fmaj,0.98403275,0.0010808421,0.007425397,0.052807383,0.02895241,0.9899936,0.00016922015,0.0068973964,0.13120972,0.86729985,0.008513581,0.0021455805
A#maj,0.04220199,0.006368035,0.8632201,0.0912505,0.008645304,0.8116683,0.0022028273,0.321615,0.035015002,0.02470905,0.9634784,0.0044281217
Amaj,0.04220199,0.006368035,0.8632201,0.0912505,0.008645304,0.8116683,0.0022028273,0.321615,0.035015002,0.02470905,0.9634784,0.0044281217
Amin,0.5911378,0.22819164,0.060549192,0.006615143,0.81186813,0.22964512,0.009887855,0.0721977,0.0066435104,0.9618202,0.0032239484,0.019095602
Dmin,0.43462,0.0011830047,0.96824867,0.0003392578,0.01137112,0.9520999,0.02151834,0.010674718,0.00086456334,0.97443026,0.004251045,0.0041261115
Fmaj,0.97989196,0.0017172092,0.011562264,0.048934277,0.05768442,0.98015887,0.00041915546,0.013380091,0.098780096,0.8638507,0.010026821,0.003886035
Cmaj,0.94731164,0.0019344611,0.12089481,0.007746024,0.8100785,0.095531605,0.008773447,0.8949941,0.0022710396,0.18261732,0.018597187,0.048164703
Fmaj,0.9839456,0.0010888408,0.0073987716,0.054693054,0.028078178,0.9903956,0.0001613296,0.006586525,0.13651745,0.86687875,0.009243821,0.0020389196
A#maj,0.04343753,0.0064213434,0.86197615,0.09188711,0.008098534,0.81487274,0.0021929136,0.3209251,0.034390733,0.025073223,0.9628365,0.0043795398
Amaj,0.04343753,0.0064213434,0.86197615,0.09188711,0.008098534,0.81487274,0.0021929136,0.3209251,0.034390733,0.025073223,0.9628365,0.0043795398
Amin,0.6031995,0.21319509,0.061208557,0.0065977997,0.8115837,0.23181713,0.009677915,0.0723173,0.006309663,0.9626628,0.0031963799,0.018686762
Dmin,0.43502864,0.001176699,0.967992,0.00034881025,0.0113599645,0.95149624,0.020954678,0.010536441,0.00087902974,0.97425234,0.0042144153,0.004130113
Cmaj,0.94747555,0.0018796392,0.11866912,0.008029119,0.80319303,0.11457037,0.007484966,0.8906632,0.0023448016,0.18456732,0.019953264,0.04679678
Fmaj,0.97709465,0.0015373873,0.008911729,0.075141676,0.0065042265,0.99248403,0.00016705823,0.0039440463,0.17627032,0.82150686,0.01337284,0.0012690576
Gmin,0.06882136,0.005567994,0.91089624,0.015537159,0.017501658,0.51698583,0.0073279697,0.92654216,0.009113314,0.025314549,0.3462249,0.4506424
D#maj,0.018790198,0.037658308,0.083349235,0.9549008,0.0036418582,0.01977167,0.010066557,0.91205674,0.010984426,0.024022952,0.93782765,0.004723994
Dmaj,0.018790198,0.037658308,0.083349235,0.9549008,0.0036418582,0.01977167,0.010066557,0.91205674,0.010984426,0.024022952,0.93782765,0.004723994
Dmin,0.09203758,0.0059331735,0.9530389,0.0065881903,0.018897064,0.53467345,0.10209194,0.3279383,0.0050894045,0.6357028,0.39074114,0.05319081
A#maj,0.042888537,0.0065391124,0.8628543,0.089242615,0.0074988864,0.82062274,0.002268902,0.31340605,0.036184702,0.02576121,0.9625655,0.0042990213
Amaj,0.042888537,0.0065391124,0.8628543,0.089242615,0.0074988864,0.82062274,0.002268902,0.31340605,0.036184702,0.02576121,0.9625655,0.0042990213
A#maj,0.027964052,0.013639097,0.77140915,0.30937144,0.0013700163,0.8646942,0.0050464896,0.107611686,0.056819152,0.015331487,0.97383416,0.0019693254
Amaj,0.027964052,0.013639097,0.77140915,0.30937144,0.0013700163,0.8646942,0.0050464896,0.107611686,0.056819152,0.015331487,0.97383416,0.0019693254
Gmin,0.07441043,0.005653868,0.9132252,0.01578638,0.015183973,0.60348374,0.005702268,0.91770434,0.012419254,0.02705433,0.4224776,0.3632444
D#maj,0.029104274,0.056586627,0.046028513,0.94001615,0.0057274704,0.025984336,0.014171392,0.8738342,0.014655234,0.03651054,0.90403575,0.006639668
Dmaj,0.029104274,0.056586627,0.046028513,0.94001615,0.0057274704,0.025984336,0.014171392,0.8738342,0.014655234,0.03651054,0.90403575,0.006639668
Fmaj,0.9235292,0.0040944824,0.048137803,0.29863763,0.015091894,0.9557338,0.0019320332,0.019175863,0.20554064,0.678688,0.055479463,0.0053466633
Gmin,0.034607597,0.002388457,0.9463871,0.015749691,0.01357189,0.24153611,0.0060795634,0.97372353,0.0016864164,0.009309053,0.61609006,0.32223067
Fmaj,0.9727596,0.0012776299,0.0180138,0.18425,0.021581376,0.9746531,0.0007148669,0.014836089,0.06607586,0.8770126,0.014141212,0.002286263
Gmin,0.0619225,0.0031815926,0.9203564,0.055776924,0.012446745,0.36493117,0.0066865445,0.9532415,0.0068240026,0.01594461,0.28807166,0.52750635
Dmin,0.107203424,0.0053556766,0.9564304,0.002521972,0.02301892,0.49762273,0.081361815,0.4016369,0.002873508,0.7264228,0.07714637,0.11015926
D#maj,0.018552653,0.05782449,0.045457873,0.9545488,0.0017171821,0.039411493,0.0206676,0.8306604,0.020963695,0.00790088,0.9539998,0.0039910567
Dmaj,0.018552653,0.05782449,0.045457873,0.9545488,0.0017171821,0.039411493,0.0206676,0.8306604,0.020963695,0.00790088,0.9539998,0.0039910567
Cmin,0.96029526,0.0016710839,0.029945357,0.4066544,0.43831995,0.065411255,0.003222507,0.93803227,0.016410625,0.017778507,0.2862262,0.0247624
Amin,0.60652727,0.19648139,0.07261246,0.0071558156,0.7760127,0.29224423,0.009337341,0.07119353,0.006091193,0.96162033,0.0036118408,0.01914911
D#maj,0.03704035,0.033209752,0.11935339,0.92049825,0.0017366632,0.16867821,0.007997019,0.7784868,0.029208254,0.026226483,0.9382557,0.002904437
Dmaj,0.03704035,0.033209752,0.11935339,0.92049825,0.0017366632,0.16867821,0.007997019,0.7784868,0.029208254,0.026226483,0.9382557,0.002904437
